,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
8540,0.4712643678160946,0.500000000000001,0.5444126074498581,0.4763231197771595,0.018079444523074095,0.017984702855935585,0.03372835004557885,0.013139530265600101,0.013078279595702179
8541,0.45977011494252956,0.4913793103448283,0.5673352435530074,0.48189415041782496,0.0007456123408012472,0.0007415553062058604,0.0027347310847766638,3.87692498950712e-05,3.85844169834553e-05
8542,0.47126436781609254,0.5057471264367835,0.5530085959885382,0.4791086350974932,0.008197337570579001,0.008147072048650962,0.011850501367365542,0.0035728675705173473,0.0035527664626655363
8543,0.46551724137931005,0.4971264367816087,0.5558739255014317,0.4763231197771575,0.0004933096814118736,0.000490242671045053,0.0027347310847766638,0.0006268682140389412,0.000623291124227506
8544,0.45689655172413934,0.488505747126438,0.5873925501432674,0.49303621169916373,1.4198544545454666e-05,1.4106890560911101e-05,0.00045578851412944393,0.0,0.0
8545,0.48563218390804574,0.511494252873564,0.544412607449856,0.4735376044568238,0.0399164424332729,0.03960503835347735,0.038742023701002735,0.0044791710878236525,0.004448010180135975
8546,0.45402298850574907,0.4798850574712653,0.544412607449856,0.45961002785515326,0.0031593577510579986,0.00313525094458577,0.008204193254329991,0.003977174812930728,0.003948863665660147
8547,0.4482758620689666,0.4913793103448283,0.544412607449856,0.4763231197771575,0.010995161615904435,0.010915652763275783,0.016408386508659983,0.013297617487151017,0.013208216304493913
8548,0.4626436781609198,0.47701149425287304,0.5530085959885382,0.4651810584958207,8.426435932020573e-05,8.367974000232531e-05,0.0013673655423883319,1.4204520435219688e-05,1.4115322950780753e-05
8549,0.45402298850574907,0.5028735632183933,0.5673352435530074,0.49582172701949745,0.008281614569553106,0.008227937513688752,0.018231540565177756,0.007905650848001348,0.00785851491309491
8550,0.47988505747126325,0.511494252873562,0.5759312320916917,0.49582172701949945,0.010815761530946329,0.010735482156637846,0.016864175022789425,0.0019057278933201879,0.0018924026918330835
8551,0.4798850574712653,0.500000000000001,0.5558739255014317,0.4651810584958207,0.004161488497145409,0.004126055877304643,0.013673655423883319,0.0011462763900813584,0.001137266842764056
8552,0.45114942528735885,0.4856321839080478,0.5386819484240692,0.4651810584958207,0.0038560099711634262,0.0038219880769180072,0.019143117593436645,0.003377312801324043,0.003349118844139343
8553,0.4482758620689645,0.48563218390804574,0.544412607449856,0.4651810584958207,0.005686706685263065,0.00564038273563603,0.007292616226071103,0.006706408642121142,0.00665526642097643
8554,0.45977011494252956,0.4942528735632185,0.5644699140401139,0.4846796657381606,0.005637219912321493,0.005593257138440124,0.007748404740200547,0.00744944369700258,0.00739515758199061
8555,0.46264367816092183,0.49425287356322056,0.5501432664756448,0.4763231197771595,0.0020923527173735542,0.0020751981411224756,0.010483135824977211,0.0005350479212224115,0.0005307593876288741
8556,0.46551724137931005,0.4913793103448283,0.5501432664756428,0.4651810584958207,0.0009169601235827162,0.0009093683799586612,0.004102096627164996,0.0004267037938739994,0.0004234539612579819
8557,0.4511494252873568,0.4683908045977023,0.544412607449856,0.4679665738161544,0.002254363166498751,0.0022358225312638547,0.0054694621695533276,0.00304016055426266,0.0030167099988213557
8558,0.45689655172413934,0.5057471264367815,0.5530085959885382,0.4763231197771575,0.004232097395715979,0.0042025052066295065,0.018231540565177756,0.0018968193862840355,0.0018837409366121481
8559,0.4626436781609198,0.4971264367816087,0.5530085959885382,0.4735376044568238,0.009650475183090559,0.009576642428727524,0.007748404740200547,0.0015562472588826692,0.0015449780571190307
8560,0.45977011494252956,0.4913793103448283,0.5558739255014338,0.4763231197771595,1.3452383643674245e-05,1.3347475546356267e-05,0.00045578851412944393,0.0,0.0
8561,0.46264367816092183,0.49425287356322056,0.5673352435530074,0.4846796657381606,2.2038500536606606e-05,2.186429920181424e-05,0.0013673655423883319,0.0,0.0
8562,0.47413793103448276,0.5057471264367815,0.5730659025787962,0.49303621169916373,0.005584450199940808,0.005537723649144573,0.0068368277119416595,0.0008762098203122483,0.0008691889426597022
